ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
BZ,Kanzhun Limited,7629,2021-05,912.0,Technology,"Goldman Sachs, Morgan Stanley, UBS",HK
GDS,GDS Holdings Limited,7437,2016-11,193.0,Technology,"Credit Suisse, JP Morgan",HK
QFIN,"Qifu Technology, Inc.",6545,2018-12,52.0,Finance,"AMTD Global Markets Ltd., Citigroup Global Markets, Goldman Sachs, Haitong International Securities Co Ltd., Lighthouse Capital Inc.",HK
MNSO,Miniso,6467,2020-10,608.0,"Consumer
Services","Goldman Sachs, Bank of America
Securities",HK
PONY,Pony AI Inc.,5304,2024-11,260.0,Technology,"Goldman Sachs (Asia) L.L.C.,
Merrill Lynch (Asia Pacific)
Limited, Deutsche Bank AG, Hong
Kong Branch, Huatai Securities
(USA), Inc., Tiger Brokers (NZ)
Limited",
WRD,WeRide Inc.,4499,2024-10,441.0,Technology,"Morgan Stanley Asia Limited, J.P.
Morgan Securities LLC, China
International Capital Corporation
Hong Kong Securities Limited,
ABCI Securities Company Limited,
BNP Paribas Securities (Asia)
Limited, Tiger Brokers (NZ)
Limited",
KC,Kingsoft Cloud,4292,2020-05,510.0,Technology,"JPMorgan, UBS, Credit Suisse and CICC",HK
ATAT,"Atour Lifestyle
Holdings",4143,2022-11,52.0,"Consumer
Discretionary","Bank of America Securities,
Citigroup, China International
Capital Corporation, CMB
International Capital",
ZLAB,Zai Lab Limited,4045,2017-09,150.0,Health Care Durables,"Citigroup, JP Morgan Chase,
Leerink Partners",HK
ATHM,Autohome Inc.,3658,2013-12,133.0,Technology,Deutsche Bank and Goldman Sachs,HK
VNET,VNET Group Inc,3062,2011-04,195.0,Technology,"Deutsche Bank, Goldman Sachs, Barclays",
HCM,"HUTCHMED (China)
Limited",2924,2016-03,101.0,Health Care,"Bank of America, Deutsche Bank",HK
TUYA,Tuya Inc.,2813,2021-03,915.0,Technology,"Morgan Stanley, Bank of America Securities",HK
LU,Lufax,2739,2020-10,2360.0,Finance,"Bank of America, Goldman Sachs, UBS, HSBC",HK
WB,Weibo Corporation,2717,2014-04,286.0,Technology,"Credit Suisse, Goldman Sachs",HK
YY,JOYY Inc.,2629,2012-11,82.0,Technology,"Citigroup, Deutsche Bank, Morgan Stanley",
IQ,"iQIYI, Inc.",2262,2018-03,2250.0,Technology,"Goldman Sachs, Merrill Lynch, Credit Suisse",
HSAI,Hesai Group,2222,2023-02,190.0,Technology,"Goldman Sachs, Morgan Stanly
Asia Limited and Credit Suisse",
FINV,FinVolution Group,2165,2017-11,,Finance,"Credit Suisse, Citigroup Global Markets",
LZMH,"LZ Technology
Holdings Limited",1828,2025-02,7.0,Technology,"Benjamin Securities, Inc., D. Boral
Capital LLC",
AAPG,"Ascentage Pharma
Group International",1767,2025-01,126.0,Health Care,"J.P. Morgan, Citigroup",HK
ACMR,"ACM Research, Inc.",1710,2017-11,19.0,Technology,"Roth Capital Partners, Inc.",
LX,Lexin Fintech Holdings Ltd.,1490,2017-12,108.0,Finance,"Deutsche Bank, Goldman Sachs, Merrill Lynch, China Renaissance Securities",
EH,Ehang,1441,2019-12,40.0,Transportation,Morgan Stanley,
